,Name,"Tensile Strength, Yield",Heat treatment 1 Temperature,Heat treatment 1 Time,Heat treatment 2 Temperature,Heat treatment 2 Time,Heat treatment 3 Temperature,Heat treatment 3 Time,Heat treatment 4 Temperature,Heat treatment 4 Time,Heat treatment 5 Temperature,Heat treatment 5 Time,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,"Tensile Strength, Ultimate",Elongation at Break
0,Allvac718PLUS,989,954,1,788,8,704,8,760,500,0,0,1.5,0.005,0.02,9.1,17.4,0,9.7,0,0,0,0,2.7,0,5.5,52.36,0.013,0,0,0,0,0.7,0,1,0,0,0,0,,
1,HastelloyS,,1121,0,0,0,0,0,0,0,0,0,0.3,0,0,0,15.5,0,1,0,,0,0.5,14.5,0,0,67,0,,,0.4,0,0,0,0,0,0,0,0,845,
2,Haynes230,,1232,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,22,0,0,,,0,0.5,2,0,0,57,0,,,0.4,0,0,0,14,0,0,0,0,,
3,Waspaloy,,1010,4,843,4,760,16,0,0,0,0,1.3,0.001,0.035,13.4,19.7,0.006,0,,,0,0,4.25,0,0,58.32,0,,,0,0,3,0,0,0,0,0,0,,
4,Unnamedalloy10,,0,0,0,0,0,0,0,0,0,0,5.7,0,0,15,10,0,0,,,0,0,3.5,0,0,61.7,0,,,0,0,4.1,0,0,0,0,0,0,,
5,Unnamedalloy7,1074,1149,1,700,16,0,0,0,0,0,0,0,0,0.05,0,20,0,0,0,0,0,0,0,0,8,71.95,0,0,0,0,0,0,0,0,0,0,0,0,,26.4
6,Ticolloy1,,0,0,0,0,0,0,0,0,0,0,0.46,0.003,0.031,0,18,0,18.25,0,,0.001,0,3.05,0,5.26,54,0,,,0,0,0.95,0,0,0,0,0,0,1261,
7,Haynes242,,1200,0,650,5,650,6,0,0,0,0,0,0,0,0,8,0,0,,,0,0,25,0,0,66,0,,,0,1,0,0,0,0,0,0,0,,
8,Unnamedalloy29,1055,0,0,0,0,0,0,0,0,0,0,5,0.02,0.07,18.53,12.38,0,0,0,0,0,0.01,3.29,0,0,55.72,0,0,0,0,0,4.18,0.74,0,0,0,0,0.06,,22.7
9,Inconel713C,,0,0,0,0,0,0,0,0,0,0,6.1,0.012,0.12,0,12.5,0,0,0,,0,0,4.2,0,2,74,0,,,0,0,0.8,0,0,0,0,0,0.1,870,
10,MAR-M247:WLK,,1185,172,1185,0,1185,0,871,0,0,0,5.5,0.013,0.17,10.15,8.63,0,0.04,,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,,
11,Astroloy,,1160,4,1080,4,850,24,760,16,0,0,3.87,0.02,0.015,16.9,14.8,0,0.4,0,,0,0,5.1,0,0,55.43,0,,,0.02,0,3.45,0,0,0,0,0,0,1466,
12,N-155,260,1177,1,816,4,0,0,0,0,0,0,0,0,0.15,20,21,0,30,0,0,0,1.5,3,0.15,1,20,0,0,0,0.5,0,0,0,2.5,0,0,0,0,,30
13,Inconel783,,1121,1,843,4,718,8,621,8,0,0,5.4,0,0.008,35,3.3,0,25,0,,0,0,0,0,3,28.03,0,,,0.06,0,0.2,0,0,0,0,0,0,816,
14,Udimet720P_M,1581,1175,2,760,8,649,24,0,0,0,0,2.5,0.03,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,17.3
15,MERL76,,1176,2,1121,0,0,0,0,0,0,0,5,0.02,0.02,18.5,12.5,0,0,,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,,
16,Inconel625,518,982,1,622,4,0,0,0,0,0,0,0.28,0,0.026,0,21.28,0,1.41,0,0,0,0.03,8.97,0.005,3.79,63.87,0,0,0,0.07,0,0.27,0,0,0,0,0,0,,47
17,J5,,1200,0,750,5,750,6,0,0,0,0,0.1,0,0.01,0,12.3,0,0,,,0,0,22,0,0,64.51,0,,,0,1,0,0,0,0,0,0,0,,
18,Waspaloy1728,,1190,24,847,4,760,16,0,0,0,0,1.36,0.001,0.038,3.6,19.5,0,0,,,0,0,3.96,0,0,68.46,0,,,0,0,3.02,0,0,0,0,0,0.06,,
19,Nimonic75,,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0,19.5,0,3,,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,,
20,Astroloy,971,1160,4,1080,4,850,24,760,16,0,0,4.15,0,0.036,17,14.7,0,0.22,0,0,0,0.05,3.4,0,0,55.43,0,0,0,0.04,0,3.57,0,0,0,0,0,0,,2.6
21,Inconel738LC,,1120,2,845,24,0,0,0,0,0,0,3.44,0.01,0.09,8.61,15.95,0,0.04,,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,,
22,Unnamedalloy31,1120,982,1,720,8,620,8,0,0,0,0,0.54,0.004,0.04,22.5,0,0,41.74,0,0,0,0,0,0,4.07,29.5,0,0,0,0.31,0,1.3,0,0,0,0,0,0,,13.6
23,Udimet720Li,,1168,2,760,8,649,24,0,0,0,0,2.54,0.018,0.013,14.52,16.06,0,0,,,0,0,3.08,0,0,57.53,0,,,0,0,5.04,0,1.2,0,0,0,0,,
24,PWA1480-singlecrystal,,1288,4,1079,4,871,16,0,0,0,0,5,0,0,5,10,0,0,0,,0,0,0,0,0,63,0,,,0,12,1.5,0,4,0,0,0,0,1140,
25,Inconel706,,982,1,843,3,718,8,621,8,0,0,0.23,0.0045,0.041,0,15.79,0.001,37.88,0,,0,0.07,0,0,3.05,41.16,0,,,0.09,0,1.68,0,0,0,0,0,0,1372,
26,Inconel738LC,791,1120,2,845,24,0,0,0,0,0,0,3.44,0.01,0.09,8.61,15.95,0,0.04,0,0,0,0,1.77,0,0.92,61.18,0,0,0,0,1.76,3.55,0,2.64,0,0,0,0.038,,26.3
27,Inconel718P/M,,982,2,718,8,621,8,0,0,0,0,5.45,0,0.04,0,18.61,0,18.61,0,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,1465,
28,MERL76,,1163,2,649,24,760,16,0,0,0,0,5,0.02,0.02,18.5,12.5,0,0,0,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,1428,
29,Inconel718,936,1040,1,955,1,720,8,620,8,0,0,0.63,0,0.05,0,17.9,0,18.84,0,0,0,0.18,3,0,5.1,52.96,0,0,0,0.22,0,1.12,0,0,0,0,0,0,,31
30,Udimet720P_M,1082,1129,2,760,8,649,24,0,0,0,0,2.5,0.04,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,17.7
31,NM3,,843,1175,850,4,0,0,0,0,0,0,3.65,0.013,0.024,14.65,11.8,0,0,0,,0,0,3.3,0,0,61.01,0,,,0,0,5.5,0,0,0,0,0,0.052,1198,
32,Inconel617,295,1177,0,0,0,0,0,0,0,0,0,1,0,0.07,12.5,22,0,0,0,0,0,0,9,0,0,54,0,0,0,0,0,0.3,0,0,0,0,0,0,,70
33,Inconel718,,982,1,718,8,621,18,0,0,0,0,0.5,0,0.04,0,19,0,18.5,0,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,950,
34,Alloy101,,704,50,0,0,0,0,0,0,0,0,3.4,0.015,0.16,9,12.2,0,0,0,,0,0,1.95,0,0,60.17,1,,,0,3.95,4.1,0,3.95,0,0,0,0.11,1715,
35,GH220,,1220,4,1050,4,950,2,0,0,0,0,4.12,0.013,0.046,14.55,9.9,0.004,0,0,,0.005,0.02,5.4,0,0,57.97,0,,,0.06,0,2.3,0.27,5.35,0,0,0,0,562,
36,TMW4,1279,1100,4,650,24,760,16,0,0,0,0,1.9,0.02,0.02,26.3,14.9,0,0,0,0,0,0,2.8,0,0,46.84,0,0,0,0,0,6,0,1.2,0,0,0,0.02,,9.3
37,El-929,,1220,2,1050,4,0,0,0,0,0,0,4,0.02,0.1,14,10,0,0,0,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,922,
38,Inconel625,,927,1,649,4,0,0,0,0,0,0,0.28,0,0.026,0,21.28,0,1.41,0,,0,0.03,8.97,0.005,3.79,63.87,0,,,0.07,0,0.27,0,0,0,0,0,0,995,
39,Inconel718p4,1201,1160,24,0,0,0,0,0,0,0,0,0.52,0.006,0.02,0,18.45,0,18.94,0,0,0,0.02,3.05,0,5.17,52.76,0.0083,0,0,0.05,0,1.01,0,0,0,0,0,0,,24
40,Alloy101,,704,50,0,0,0,0,0,0,0,0,3.4,0.015,0.16,9,12.2,0,0,0,,0,0,1.95,0,0,60.17,1,,,0,3.95,4.1,0,3.95,0,0,0,0.11,1815,
41,HastelloyS,220,1066,0,0,0,0,0,0,0,0,0,0.3,0,0,0,15.5,0,1,0,0.05,0,0.5,14.5,0,0,67,0,0,0,0.4,0,0,0,0,0,0,0,0,,47
42,Inconel718_Ta,,1052,1,732,8,621,8,0,0,0,0,0.47,0.0043,0.044,0,19.2,0,18,,,0,0,3,0,0.02,49.1,0,,,0.02,9.1,1.04,0,0,0,0,0,0,,
43,Udimet720,,1113,2,1079,4,649,24,760,8,0,0,2.5,0.033,0.03,14.7,17.9,0,0,,,0,0,3,0,0,55,0,,,0,0,5,0,0,0,0,0,0.03,,
44,Inconel718Super,960,927,1,718,8,621,8,0,0,0,0,0.5,0,0.04,0,19,0,18.5,0,0,0,0.2,3,0,5.1,52.5,0,0,0,0.2,0,0.9,0,0,0,0,0,0,,14
45,NimonicPE.16,,1038,4,799,2,699,16,0,0,0,0,1.2,0.02,0.05,1,16.5,0,33,,,0,0.1,1.1,0,0,43,0,,,0.1,0,1.2,0,0,0,0,0,0,,
46,Inconel625,770,982,1,690,16,0,0,0,0,0,0,0.32,0,0.019,0,21.49,0,1.41,0,0,0,0.04,8.88,0.006,3.77,63.74,0,0,0,0.07,0,0.26,0,0,0,0,0,0,,35
47,Nimonic105,146,1149,4,1060,16,848,16,0,0,0,0,4.7,0.005,0.13,20,15,0,0,0,0,0,0.3,5,0,0,53,0,0,0,0.3,0,1.2,0,0,0,0,0,0.1,,38.8
48,Thermo-Span,1111,1093,1,718,8,621,8,0,0,0,0,0.45,0.004,0,29,5.5,0,34.8,0,0,0,0,0,0,4.8,24.25,0,0,0,0.35,0,0.85,0,0,0,0,0,0,,25
49,Inconel731X,,0,0,0,0,0,0,0,0,0,0,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
50,Inconel706,,982,1,843,3,718,8,621,8,0,0,0.24,0.0045,0.045,0,15.75,0.002,39.03,0,,0,0.06,0,0,2.89,40.19,0,,,0.13,0,1.66,0,0,0,0,0,0,1289,
51,RR1000,,1130,4,800,16,800,0,0,0,0,0,3,0.015,0.027,18.5,15,0,0,,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,,
52,Unnamedalloy31,,982,1,720,8,620,8,0,0,0,0,0.54,0.004,0.04,22.5,0,0,41.74,0,,0,0,0,0,4.07,29.5,0,,,0.31,0,1.3,0,0,0,0,0,0,1323,
53,Unnamedalloy31,,982,1,720,8,620,8,0,0,0,0,0.54,0.004,0.04,22.5,0,0,41.74,,,0,0,0,0,4.07,29.5,0,,,0.31,0,1.3,0,0,0,0,0,0,,
54,Unnamedalloy26,,0,0,0,0,0,0,0,0,0,0,6,0,0.13,0,6,0,0,,,0,0,2,0,0,71.27,0,,,0,3,0,0,11,0,0,0,0.6,,
55,MAR-M200+Hf,,871,50,0,0,0,0,0,0,0,0,5,0.015,0.14,10,9,0,0,,,0,0,0,0,1,59,1.8,,,0,0,2,0,12.5,0,0,0,0.05,,
56,Waspaloy12,,1020,4,845,4,760,16,0,0,0,0,1.35,0.03,0.018,14,18.9,0,0,0,,0,0,4.1,0,0,58.5,0,,,0,0,3.1,0,0,0,0,0,0,1441,
57,Unnamedalloy27,,0,0,0,0,0,0,0,0,0,0,6,0.02,0.13,0,6,0,0,,,0,0,2,0,0,71.35,0,,,0,3,0,0,11,0,0,0,0.5,,
58,Unnamedalloy29,,0,0,0,0,0,0,0,0,0,0,5,0.02,0.07,18.53,12.38,0,0,0,,0,0.01,3.29,0,0,55.72,0,,,0,0,4.18,0.74,0,0,0,0,0.06,1307,
59,Inconel718,,996,1,718,8,621,8,0,0,0,0,0.5,0.005,0.04,0,18.5,0,18.5,0,,0,0,3,0,5.1,52.5,0,,,0,0,0.9,0,0,0,0,0,0,834,
60,Udimet700,,1121,4,1079,4,843,24,760,16,0,0,4.42,0.03,0.06,18.8,15.5,0,0.15,,,0,0.1,5.1,0,0,52.28,0,,,0.1,0,3.41,0,0,0,0,0,0.05,,
61,RR1000+,,1150,4,800,4,0,0,0,0,0,0,3.1,0.02,0.045,17,15,0,0,,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,,
62,KM42,,1191,4,843,4,760,4,0,0,0,0,3.46,0.023,0.035,17.66,12.44,0,0,,,0.0122,0,3.87,0,1.88,56.22,0,,,0,0,4.26,0,0.11,0,0,0,0.026,,
63,TRW-NASAVIA,,0,0,0,0,0,0,0,0,0,0,5.4,0.02,0.13,7.5,6.1,0,0,0,,0,0,2,0,0.5,61,0,,,0,9,1,0,5.8,0,0,0,0.13,1140,
64,Waspaloy,,1065,1,760,5,649,3,0,0,0,0,1,0.01,0.025,13,19,0,0,0,,0,0,4,0,3,57.92,0,,,0,0,2,0,0,0,0,0,0.05,1016,
65,Inconel939,,1160,4,1000,6,0,0,0,0,0,0,1.9,0.01,0.15,19,22.5,0,0,,,0,0,0,0,1,48.24,0,,,0,1.4,3.7,0,2,0,0,0,0.1,,
66,J16,,1200,0,650,5,650,6,0,0,0,0,0.1,0,0.008,0,12.2,0,0,,,0,0,15.5,0,0,64.52,0,,,0,1,0,0,6.6,0,0,0,0,,
67,Inconel939,,1160,4,1000,6,800,4,0,0,0,0,2,0.004,0.15,19,22.4,0.005,0,,,0,0,0.01,0,1.02,48.23,0,,,0.001,1.45,3.71,0,2.02,0,0,0,0.003,,
68,Inconel718,,982,1,718,8,621,18,0,0,0,0,0.5,0,0.04,0,19,0,18.5,0,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,1435,
69,HastelloyC-22,250,1121,0,0,0,0,0,0,0,0,0,0,0,0.01,2.5,21.5,0,5.5,0,0,0,1,13.5,0,0,51.6,0,0,0,0.1,0,0,0.3,4,0,0,0,0,,65
70,Unnamedalloy2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,33.55,,,0,0,0,0,2*,40,0,,,0,0,2*,0,0,0,0,0,0,,
71,Rene95,,1093,1,815,4,0,0,0,0,0,0,3.43,0.009,0.07,7.85,13.63,0.007,0,,,0,0,3.5,0,3.46,62,0,,,0.01,0,2.48,0,3.5,0,0,0,0.05,,
72,RR1000+,,1190,4,800,4,0,0,0,0,0,0,3.1,0.02,0.045,17,15,0,0,0,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,1296,
73,Waspaloy,806,1079,4,843,24,760,16,0,0,0,0,1.3,0.006,0.08,13.5,19.5,0,0,0,0,0,0,4.3,0,0,58,0,0,0,0,0,3,0,0,0,0,0,0,,24.9
74,Inconel625,,996,1,622,8,0,0,0,0,0,0,0.25,0,0.016,0,21.45,0,1.41,0,,0,0.05,8.89,0.006,3.77,63.84,0,,,0.06,0,0.26,0,0,0,0,0,0,1019,
