,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
0,Allvac718PLUS,989,No,392890,GammaPrime,No,1.5,0.005,0.02,9.1,17.4,0,9.7,0,0,0,0,2.7,0,5.5,52.36,0.013,0,0,0,0,0.7,0,1,0,0,0,0,,
1,HastelloyS,,No,0,,No,0.3,0,0,0,15.5,0,1,0,,0,0.5,14.5,0,0,67,0,,,0.4,0,0,0,0,0,0,0,0,845,
2,Haynes230,,No,0,,No,0.3,0,0.1,0,22,0,0,,,0,0.5,2,0,0,57,0,,,0.4,0,0,0,14,0,0,0,0,,
3,Waspaloy,,No,19572,,No,1.3,0.001,0.035,13.4,19.7,0.006,0,,,0,0,4.25,0,0,58.32,0,,,0,0,3,0,0,0,0,0,0,,
4,Unnamedalloy10,,No,0,,No,5.7,0,0,15,10,0,0,,,0,0,3.5,0,0,61.7,0,,,0,0,4.1,0,0,0,0,0,0,,
5,Unnamedalloy7,1074,No,12349,GammaPrime,No,0,0,0.05,0,20,0,0,0,0,0,0,0,0,8,71.95,0,0,0,0,0,0,0,0,0,0,0,0,,26.4
6,Ticolloy1,,No,0,,No,0.46,0.003,0.031,0,18,0,18.25,0,,0.001,0,3.05,0,5.26,54,0,,,0,0,0.95,0,0,0,0,0,0,1261,
7,Haynes242,,No,7150,,No,0,0,0,0,8,0,0,,,0,0,25,0,0,66,0,,,0,1,0,0,0,0,0,0,0,,
8,Unnamedalloy29,1055,Yes,0,GammaPrime,Yes,5,0.02,0.07,18.53,12.38,0,0,0,0,0,0.01,3.29,0,0,55.72,0,0,0,0,0,4.18,0.74,0,0,0,0,0.06,,22.7
9,Inconel713C,,No,0,,No,6.1,0.012,0.12,0,12.5,0,0,0,,0,0,4.2,0,2,74,0,,,0,0,0.8,0,0,0,0,0,0.1,870,
10,MAR-M247:WLK,,No,203820,,No,5.5,0.013,0.17,10.15,8.63,0,0.04,,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,,
11,Astroloy,,No,41520,,No,3.87,0.02,0.015,16.9,14.8,0,0.4,0,,0,0,5.1,0,0,55.43,0,,,0.02,0,3.45,0,0,0,0,0,0,1466,
12,N-155,260,No,4441,Solution,No,0,0,0.15,20,21,0,30,0,0,0,1.5,3,0.15,1,20,0,0,0,0.5,0,0,0,2.5,0,0,0,0,,30
13,Inconel783,,No,15205,,No,5.4,0,0.008,35,3.3,0,25,0,,0,0,0,0,3,28.03,0,,,0.06,0,0.2,0,0,0,0,0,0,816,
14,Udimet720P_M,1581,No,24006,GammaPrime,Yes,2.5,0.03,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,17.3
15,MERL76,,No,2352,,No,5,0.02,0.02,18.5,12.5,0,0,,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,,
16,Inconel625,518,No,3470,DoublePrime,Yes,0.28,0,0.026,0,21.28,0,1.41,0,0,0,0.03,8.97,0.005,3.79,63.87,0,0,0,0.07,0,0.27,0,0,0,0,0,0,,47
17,J5,,No,8250,,No,0.1,0,0.01,0,12.3,0,0,,,0,0,22,0,0,64.51,0,,,0,1,0,0,0,0,0,0,0,,
18,Waspaloy1728,,No,44108,,No,1.36,0.001,0.038,3.6,19.5,0,0,,,0,0,3.96,0,0,68.46,0,,,0,0,3.02,0,0,0,0,0,0.06,,
19,Nimonic75,,No,1,,No,0,0,0.1,0,19.5,0,3,,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,,
20,Astroloy,971,No,41520,GammaPrime,Yes,4.15,0,0.036,17,14.7,0,0.22,0,0,0,0.05,3.4,0,0,55.43,0,0,0,0.04,0,3.57,0,0,0,0,0,0,,2.6
21,Inconel738LC,,No,22520,,No,3.44,0.01,0.09,8.61,15.95,0,0.04,,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,,
22,Unnamedalloy31,1120,No,11702,GammaPrime,No,0.54,0.004,0.04,22.5,0,0,41.74,0,0,0,0,0,0,4.07,29.5,0,0,0,0.31,0,1.3,0,0,0,0,0,0,,13.6
23,Udimet720Li,,No,23992,,No,2.54,0.018,0.013,14.52,16.06,0,0,,,0,0,3.08,0,0,57.53,0,,,0,0,5.04,0,1.2,0,0,0,0,,
24,PWA1480-singlecrystal,,No,23404,,No,5,0,0,5,10,0,0,0,,0,0,0,0,0,63,0,,,0,12,1.5,0,4,0,0,0,0,1140,
25,Inconel706,,No,14223,,No,0.23,0.0045,0.041,0,15.79,0.001,37.88,0,,0,0.07,0,0,3.05,41.16,0,,,0.09,0,1.68,0,0,0,0,0,0,1372,
26,Inconel738LC,791,No,22520,GammaPrime,No,3.44,0.01,0.09,8.61,15.95,0,0.04,0,0,0,0,1.77,0,0.92,61.18,0,0,0,0,1.76,3.55,0,2.64,0,0,0,0.038,,26.3
27,Inconel718P/M,,No,12676,,No,5.45,0,0.04,0,18.61,0,18.61,0,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,1465,
28,MERL76,,No,30062,,No,5,0.02,0.02,18.5,12.5,0,0,0,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,1428,
29,Inconel718,936,No,12715,DoublePrime,No,0.63,0,0.05,0,17.9,0,18.84,0,0,0,0.18,3,0,5.1,52.96,0,0,0,0.22,0,1.12,0,0,0,0,0,0,,31
